start_time_s,acq_time_s,n_pixels,pixels_per_second
1396447375,60.000000,57,0.950000
1396447435,60.000000,41,0.683333
1396447495,60.000000,18,0.300000
1396447555,60.000000,21,0.350000
1396447615,60.000000,21,0.350000
1396447675,60.000000,10,0.166667
1396447735,60.000000,38,0.633333
1396447795,60.000000,41,0.683333
1396447855,60.000000,62,1.033333
1396447915,60.000000,29,0.483333
1396447975,60.000000,35,0.583333
1396448035,60.000000,12,0.200000
1396448095,60.000000,56,0.933333
1396448155,60.000000,26,0.433333
1396448216,60.000000,46,0.766667
1396448276,60.000000,35,0.583333
1396448336,60.000000,20,0.333333
1396448396,60.000000,39,0.650000
1396448456,60.000000,49,0.816667
1396448516,60.000000,20,0.333333
1396448576,60.000000,19,0.316667
1396448636,60.000000,69,1.150000
1396448696,60.000000,75,1.250000
1396448756,60.000000,13,0.216667
1396448816,60.000000,112,1.866667
1396448876,60.000000,62,1.033333
1396448936,60.000000,33,0.550000
1396448996,60.000000,27,0.450000
1396449057,60.000000,38,0.633333
1396449117,60.000000,209,3.483333
1396449177,60.000000,18,0.300000
1396449237,60.000000,42,0.700000
1396449297,60.000000,77,1.283333
1396449357,60.000000,69,1.150000
1396449417,60.000000,21,0.350000
1396449477,60.000000,32,0.533333
1396449537,60.000000,49,0.816667
1396449597,60.000000,95,1.583333
1396449657,60.000000,54,0.900000
1396449717,60.000000,74,1.233333
1396449777,60.000000,71,1.183333
1396449837,60.000000,48,0.800000
1396449898,60.000000,51,0.850000
1396449958,60.000000,72,1.200000
1396450018,60.000000,42,0.700000
1396450078,60.000000,30,0.500000
1396450138,60.000000,35,0.583333
1396450198,60.000000,57,0.950000
1396450258,60.000000,44,0.733333
1396450318,60.000000,33,0.550000
1396450378,60.000000,34,0.566667
1396450438,60.000000,25,0.416667
1396450498,60.000000,56,0.933333
1396450558,60.000000,12,0.200000
1396450618,60.000000,44,0.733333
1396450679,60.000000,45,0.750000
1396450739,60.000000,74,1.233333
1396450799,60.000000,44,0.733333
1396450859,60.000000,51,0.850000
1396450919,60.000000,35,0.583333